"filename", "language", "CSS", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"d:\Reactjs\amazoneclone\public\index.html", "HTML", 0, 0, 0, -20, -23, -1, -44
"d:\Reactjs\amazoneclone\public\manifest.json", "JSON", 0, 0, -25, 0, 0, -1, -26
"d:\Reactjs\amazoneclone\src\Components\404\Error.js", "JavaScript", 0, 11, 0, 0, 0, 3, 14
"d:\Reactjs\amazoneclone\src\Components\Addtocart\Addtocart.js", "JavaScript", 0, 10, 0, 0, 0, 5, 15
"d:\Reactjs\amazoneclone\src\Components\Footer\Footer.js", "JavaScript", 0, 53, 0, 0, 0, 5, 58
"d:\Reactjs\amazoneclone\src\Components\Footer\Footer.module.css", "CSS", 29, 0, 0, 0, 0, 2, 31
"d:\Reactjs\amazoneclone\src\Components\Header.js", "JavaScript", 0, 72, 0, 0, 0, 6, 78
"d:\Reactjs\amazoneclone\src\Components\Home\Home.js", "JavaScript", 0, 116, 0, 0, 0, 28, 144
"d:\Reactjs\amazoneclone\src\Components\Home\Home.module.css", "CSS", 36, 0, 0, 0, 0, 1, 37
"d:\Reactjs\amazoneclone\src\Components\Login\Login.js", "JavaScript", 0, 30, 0, 0, 0, 6, 36
"d:\Reactjs\amazoneclone\src\Components\Login\Login.module.css", "CSS", 59, 0, 0, 0, 0, 0, 59
"d:\Reactjs\amazoneclone\src\Components\Products\Product.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"d:\Reactjs\amazoneclone\src\Components\Products\Product.js", "JavaScript", 0, 138, 0, 0, 1, 28, 167
"d:\Reactjs\amazoneclone\src\Components\Products\Product.module.css", "CSS", 124, 0, 0, 0, 0, 2, 126
"d:\Reactjs\amazoneclone\src\Components\Shop\Fashion\Fashion.js", "JavaScript", 0, 19, 0, 0, 0, 7, 26
"d:\Reactjs\amazoneclone\src\Components\Shop\Fashion\Fashion.module.css", "CSS", 48, 0, 0, 0, 0, 1, 49
"d:\Reactjs\amazoneclone\src\Components\Shop\Fashion\FashionHome.js", "JavaScript", 0, 24, 0, 0, 0, 8, 32
"d:\Reactjs\amazoneclone\src\Components\Shop\Fashion\Fashionhome.module.css", "CSS", 14, 0, 0, 0, 0, 0, 14
"d:\Reactjs\amazoneclone\src\Components\Shop\Fashion\Fashionproducts.js", "JavaScript", 0, 75, 0, 0, 0, 2, 77
"d:\Reactjs\amazoneclone\src\Components\Shop\Fitness\Fitness.js", "JavaScript", 0, 38, 0, 0, 0, 8, 46
"d:\Reactjs\amazoneclone\src\Components\Shop\Fitness\Fitness.module.css", "CSS", 19, 0, 0, 0, 0, 0, 19
"d:\Reactjs\amazoneclone\src\Components\Shop\PersonalCare\Perosnalhome.js", "JavaScript", 0, 16, 0, 0, 0, 3, 19
"d:\Reactjs\amazoneclone\src\Components\Shop\PersonalCare\Personal.js", "JavaScript", 0, 19, 0, 0, 0, 3, 22
"d:\Reactjs\amazoneclone\src\Components\Shop\PersonalCare\Personal.module.css", "CSS", 10, 0, 0, 0, 0, 2, 12
"d:\Reactjs\amazoneclone\src\Components\Shop\PersonalCare\Personalcareproducts.js", "JavaScript", 0, 33, 0, 0, 0, 0, 33
"d:\Reactjs\amazoneclone\src\Components\Shop\Shop.js", "JavaScript", 0, 43, 0, 0, 0, 9, 52
"d:\Reactjs\amazoneclone\src\Components\Shop\Shop.module.css", "CSS", 26, 0, 0, 0, 0, 0, 26
"d:\Reactjs\amazoneclone\src\Components\Shop\Shophome.js", "JavaScript", 0, 17, 0, 0, 0, 4, 21
"d:\Reactjs\amazoneclone\src\Components\Signup\Signup.js", "JavaScript", 0, 77, 0, 0, 0, 14, 91
"d:\Reactjs\amazoneclone\src\Components\Signup\Signup.module.css", "CSS", 98, 0, 0, 0, 0, 1, 99
"d:\Reactjs\amazoneclone\src\Components\carousel\Carousel.module.css", "CSS", 9, 0, 0, 0, 0, 0, 9
"d:\Reactjs\amazoneclone\src\Components\carousel\Carouselitem.js", "JavaScript", 0, 91, 0, 0, 0, 26, 117
"d:\Reactjs\amazoneclone\src\Components\carousel\Gifts.js", "JavaScript", 0, 58, 0, 0, 0, 17, 75
"Total", "-", 472, 940, -25, -20, -22, 190, 1535
